time,mono_ms,cat_name,state,lick,bout,water
2026-02-04 19:47:50.242,371111680,unknown,0,0,2,1.02012
2026-02-04 19:47:54.466,371115904,unknown,1,0,2,1.01472
2026-02-04 19:47:55.362,371116800,unknown,0,0,2,1.0156
2026-02-04 19:47:55.490,371116928,unknown,1,0,2,1.01632
2026-02-04 19:47:55.746,371117184,unknown,0,0,2,1.01302
2026-02-04 19:48:00.610,371122048,unknown,1,0,2,1.0181
2026-02-04 19:48:01.762,371123200,unknown,0,0,2,1.01181
2026-02-04 19:48:01.890,371123328,unknown,1,0,2,1.01858
2026-02-04 19:48:02.018,371123456,unknown,0,1,2,1.01028
2026-02-04 19:48:03.042,371124480,unknown,0,0,2,1.01052
2026-02-04 19:48:05.346,371126784,unknown,1,0,2,1.01665
2026-02-04 19:48:06.498,371127936,unknown,0,0,2,1.00923
2026-02-04 19:48:09.954,371131392,unknown,1,0,2,1.01995
2026-02-04 19:48:11.106,371132544,unknown,0,0,2,1.01068
2026-02-04 19:48:15.330,371136768,unknown,1,0,2,1.0168
2026-02-04 19:48:16.098,371137536,unknown,0,0,2,1.01769
2026-02-04 19:48:16.226,371137664,unknown,1,0,2,1.01737
2026-02-04 19:48:16.354,371137792,unknown,0,1,2,1.01205
2026-02-04 19:48:17.378,371138816,unknown,0,0,2,1.01608
2026-02-04 19:48:21.090,371142528,unknown,1,0,2,1.01673
2026-02-04 19:48:22.754,371144192,unknown,0,0,2,1.01463
2026-02-04 19:48:26.722,371148160,unknown,1,0,2,1.01398
2026-02-04 19:48:28.002,371149440,unknown,0,0,2,1.02237
2026-02-04 21:02:46.114,375607552,unknown,1,0,2,1.01012
2026-02-04 21:02:46.242,375607680,unknown,0,1,2,1.01278
2026-02-04 21:02:47.266,375608704,unknown,0,0,2,1.0102
2026-02-04 21:06:09.634,375811072,unknown,1,0,2,1.01407
2026-02-04 21:06:09.762,375811200,unknown,0,1,2,1.01302
2026-02-04 21:06:10.786,375812224,unknown,0,0,2,1.01608
2026-02-04 21:48:36.962,378358400,unknown,1,0,2,1.02205
2026-02-04 21:48:37.730,378359168,unknown,0,0,2,1.01713
2026-02-04 21:48:41.058,378362496,unknown,1,0,2,1.01487
2026-02-04 21:48:42.210,378363648,unknown,0,0,2,1.01577
